Series_Title,Overview,concatenated_text
The Lord of the Rings The Two Towers,While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum the divided fellowship makes a stand against Saurons new ally Saruman and his hordes of Isengard,The Lord of the Rings The Two Towers While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum the divided fellowship makes a stand against Saurons new ally Saruman and his hordes of Isengard
The Matrix,When a beautiful stranger leads computer hacker Neo to a forbidding underworld he discovers the shocking truththe life he knows is the elaborate deception of an evil cyberintelligence,The Matrix When a beautiful stranger leads computer hacker Neo to a forbidding underworld he discovers the shocking truththe life he knows is the elaborate deception of an evil cyberintelligence
Goodfellas,The story of Henry Hill and his life in the mob covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the ItalianAmerican crime syndicate,Goodfellas The story of Henry Hill and his life in the mob covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the ItalianAmerican crime syndicate
Star Wars Episode V The Empire Strikes Back,After the Rebels are brutally overpowered by the Empire on the ice planet Hoth Luke Skywalker begins Jedi training with Yoda while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy,Star Wars Episode V The Empire Strikes Back After the Rebels are brutally overpowered by the Empire on the ice planet Hoth Luke Skywalker begins Jedi training with Yoda while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy
One Flew Over the Cuckoos Nest,A criminal pleads insanity and is admitted to a mental institution where he rebels against the oppressive nurse and rallies up the scared patients,One Flew Over the Cuckoos Nest A criminal pleads insanity and is admitted to a mental institution where he rebels against the oppressive nurse and rallies up the scared patients
Hamilton,The real life of one of Americas foremost founding fathers and first Secretary of the Treasury Alexander Hamilton Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast,Hamilton The real life of one of Americas foremost founding fathers and first Secretary of the Treasury Alexander Hamilton Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast
Gisaengchung,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan,Gisaengchung Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan
Soorarai Pottru,Nedumaaran Rajangam Maara sets out to make the common man fly and in the process takes on the worlds most capital intensive industry and several enemies who stand in his way,Soorarai Pottru Nedumaaran Rajangam Maara sets out to make the common man fly and in the process takes on the worlds most capital intensive industry and several enemies who stand in his way
Interstellar,A team of explorers travel through a wormhole in space in an attempt to ensure humanitys survival,Interstellar A team of explorers travel through a wormhole in space in an attempt to ensure humanitys survival
Cidade de Deus,In the slums of Rio two kids paths diverge as one struggles to become a photographer and the other a kingpin,Cidade de Deus In the slums of Rio two kids paths diverge as one struggles to become a photographer and the other a kingpin
Sen to Chihiro no kamikakushi,During her familys move to the suburbs a sullen yearold girl wanders into a world ruled by gods witches and spirits and where humans are changed into beasts,Sen to Chihiro no kamikakushi During her familys move to the suburbs a sullen yearold girl wanders into a world ruled by gods witches and spirits and where humans are changed into beasts
Saving Private Ryan,Following the Normandy Landings a group of US soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action,Saving Private Ryan Following the Normandy Landings a group of US soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action
The Green Mile,The lives of guards on Death Row are affected by one of their charges a black man accused of child murder and rape yet who has a mysterious gift,The Green Mile The lives of guards on Death Row are affected by one of their charges a black man accused of child murder and rape yet who has a mysterious gift
La vita bella,When an openminded Jewish librarian and his son become victims of the Holocaust he uses a perfect mixture of will humor and imagination to protect his son from the dangers around their camp,La vita bella When an openminded Jewish librarian and his son become victims of the Holocaust he uses a perfect mixture of will humor and imagination to protect his son from the dangers around their camp
Seen,Two detectives a rookie and a veteran hunt a serial killer who uses the seven deadly sins as his motives,Seen Two detectives a rookie and a veteran hunt a serial killer who uses the seven deadly sins as his motives
The Silence of the Lambs,A young FBI cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer a madman who skins his victims,The Silence of the Lambs A young FBI cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer a madman who skins his victims
Star Wars,Luke Skywalker joins forces with a Jedi Knight a cocky pilot a Wookiee and two droids to save the galaxy from the Empires worlddestroying battle station while also attempting to rescue Princess Leia from the mysterious Darth Vader,Star Wars Luke Skywalker joins forces with a Jedi Knight a cocky pilot a Wookiee and two droids to save the galaxy from the Empires worlddestroying battle station while also attempting to rescue Princess Leia from the mysterious Darth Vader
Seppuku,When a ronin requesting seppuku at a feudal lords palace is told of the brutal suicide of another ronin who previously visited he reveals how their pasts are intertwined and in doing so challenges the clans integrity,Seppuku When a ronin requesting seppuku at a feudal lords palace is told of the brutal suicide of another ronin who previously visited he reveals how their pasts are intertwined and in doing so challenges the clans integrity
Shichinin no samurai,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves,Shichinin no samurai A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves
Its a Wonderful Life,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed,Its a Wonderful Life An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed
Joker,In Gotham City mentally troubled comedian Arthur Fleck is disregarded and mistreated by society He then embarks on a downward spiral of revolution and bloody crime This path brings him facetoface with his alterego the Joker,Joker In Gotham City mentally troubled comedian Arthur Fleck is disregarded and mistreated by society He then embarks on a downward spiral of revolution and bloody crime This path brings him facetoface with his alterego the Joker
Whiplash,A promising young drummer enrolls at a cutthroat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a students potential,Whiplash A promising young drummer enrolls at a cutthroat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a students potential
The Intouchables,After he becomes a quadriplegic from a paragliding accident an aristocrat hires a young man from the projects to be his caregiver,The Intouchables After he becomes a quadriplegic from a paragliding accident an aristocrat hires a young man from the projects to be his caregiver
The Prestige,After a tragic accident two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other,The Prestige After a tragic accident two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other
The Departed,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston,The Departed An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston
The Pianist,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II,The Pianist A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II
Gladiator,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery,Gladiator A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery
American History X,A former neonazi skinhead tries to prevent his younger brother from going down the same wrong path that he did,American History X A former neonazi skinhead tries to prevent his younger brother from going down the same wrong path that he did
The Usual Suspects,A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat which began when five criminals met at a seemingly random police lineup,The Usual Suspects A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat which began when five criminals met at a seemingly random police lineup
Lon,Mathilda a yearold girl is reluctantly taken in by Lon a professional assassin after her family is murdered An unusual relationship forms as she becomes his protge and learns the assassins trade,Lon Mathilda a yearold girl is reluctantly taken in by Lon a professional assassin after her family is murdered An unusual relationship forms as she becomes his protge and learns the assassins trade
The Lion King,Lion prince Simba and his father are targeted by his bitter uncle who wants to ascend the throne himself,The Lion King Lion prince Simba and his father are targeted by his bitter uncle who wants to ascend the throne himself
Terminator Judgment Day,A cyborg identical to the one who failed to kill Sarah Connor must now protect her teenage son John Connor from a more advanced and powerful cyborg,Terminator Judgment Day A cyborg identical to the one who failed to kill Sarah Connor must now protect her teenage son John Connor from a more advanced and powerful cyborg
Nuovo Cinema Paradiso,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinemas projectionist,Nuovo Cinema Paradiso A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinemas projectionist
Hotaru no haka,A young boy and his little sister struggle to survive in Japan during World War II,Hotaru no haka A young boy and his little sister struggle to survive in Japan during World War II
Back to the Future,Marty McFly a yearold high school student is accidentally sent thirty years into the past in a timetraveling DeLorean invented by his close friend the eccentric scientist Doc Brown,Back to the Future Marty McFly a yearold high school student is accidentally sent thirty years into the past in a timetraveling DeLorean invented by his close friend the eccentric scientist Doc Brown
Once Upon a Time in the West,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad,Once Upon a Time in the West A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad
Psycho,A Phoenix secretary embezzles from her employers client goes on the run and checks into a remote motel run by a young man under the domination of his mother,Psycho A Phoenix secretary embezzles from her employers client goes on the run and checks into a remote motel run by a young man under the domination of his mother
Casablanca,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco,Casablanca A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco
Modern Times,The Tramp struggles to live in modern industrial society with the help of a young homeless woman,Modern Times The Tramp struggles to live in modern industrial society with the help of a young homeless woman
City Lights,With the aid of a wealthy erratic tippler a dewyeyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically,City Lights With the aid of a wealthy erratic tippler a dewyeyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically
Capharnam,While serving a fiveyear sentence for a violent crime a yearold boy sues his parents for neglect,Capharnam While serving a fiveyear sentence for a violent crime a yearold boy sues his parents for neglect
Ayla The Daughter of War,In amidst the ravages of the Korean War Sergeant Sleyman stumbles upon a halffrozen little girl with no parents and no help in sight Frantic scared and on the verge of death See full summary,Ayla The Daughter of War In amidst the ravages of the Korean War Sergeant Sleyman stumbles upon a halffrozen little girl with no parents and no help in sight Frantic scared and on the verge of death See full summary
Vikram Vedha,Vikram a nononsense police officer accompanied by Simon his partner is on the hunt to capture Vedha a smuggler and a murderer Vedha tries to change Vikrams life which leads to a conflict,Vikram Vedha Vikram a nononsense police officer accompanied by Simon his partner is on the hunt to capture Vedha a smuggler and a murderer Vedha tries to change Vikrams life which leads to a conflict
Kimi no na wa,Two strangers find themselves linked in a bizarre way When a connection forms will distance be the only thing to keep them apart,Kimi no na wa Two strangers find themselves linked in a bizarre way When a connection forms will distance be the only thing to keep them apart
Dangal,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression,Dangal Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression
SpiderMan Into the SpiderVerse,Teen Miles Morales becomes the SpiderMan of his universe and must join with five spiderpowered individuals from other dimensions to stop a threat for all realities,SpiderMan Into the SpiderVerse Teen Miles Morales becomes the SpiderMan of his universe and must join with five spiderpowered individuals from other dimensions to stop a threat for all realities
Avengers Endgame,After the devastating events of Avengers Infinity War the universe is in ruins With the help of remaining allies the Avengers assemble once more in order to reverse Thanos actions and restore balance to the universe,Avengers Endgame After the devastating events of Avengers Infinity War the universe is in ruins With the help of remaining allies the Avengers assemble once more in order to reverse Thanos actions and restore balance to the universe
Avengers Infinity War,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe,Avengers Infinity War The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe
Coco,Aspiring musician Miguel confronted with his familys ancestral ban on music enters the Land of the Dead to find his greatgreatgrandfather a legendary singer,Coco Aspiring musician Miguel confronted with his familys ancestral ban on music enters the Land of the Dead to find his greatgreatgrandfather a legendary singer
Django Unchained,With the help of a German bounty hunter a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner,Django Unchained With the help of a German bounty hunter a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner
The Dark Knight Rises,Eight years after the Jokers reign of anarchy Batman with the help of the enigmatic Catwoman is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane,The Dark Knight Rises Eight years after the Jokers reign of anarchy Batman with the help of the enigmatic Catwoman is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane
Idiots,Two friends are searching for their long lost companion They revisit their college days and recall the memories of their friend who inspired them to think differently even as the rest of the world called them idiots,Idiots Two friends are searching for their long lost companion They revisit their college days and recall the memories of their friend who inspired them to think differently even as the rest of the world called them idiots
Taare Zameen Par,An eightyearold boy is thought to be a lazy troublemaker until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school,Taare Zameen Par An eightyearold boy is thought to be a lazy troublemaker until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school
WALLE,In the distant future a small wastecollecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind,WALLE In the distant future a small wastecollecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind
The Lives of Others,In East Berlin an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives,The Lives of Others In East Berlin an agent of the secret police conducting surveillance on a writer and his lover finds himself becoming increasingly absorbed by their lives
Oldeuboi,After being kidnapped and imprisoned for fifteen years Oh DaeSu is released only to find that he must find his captor in five days,Oldeuboi After being kidnapped and imprisoned for fifteen years Oh DaeSu is released only to find that he must find his captor in five days
Memento,A man with shortterm memory loss attempts to track down his wifes murderer,Memento A man with shortterm memory loss attempts to track down his wifes murderer
Mononokehime,On a journey to find the cure for a Tatarigamis curse Ashitaka finds himself in the middle of a war between the forest gods and Tatara a mining colony In this quest he also meets San the Mononoke Hime,Mononokehime On a journey to find the cure for a Tatarigamis curse Ashitaka finds himself in the middle of a war between the forest gods and Tatara a mining colony In this quest he also meets San the Mononoke Hime
Once Upon a Time in America,A former Prohibitionera Jewish gangster returns to the Lower East Side of Manhattan over thirty years later where he once again must confront the ghosts and regrets of his old life,Once Upon a Time in America A former Prohibitionera Jewish gangster returns to the Lower East Side of Manhattan over thirty years later where he once again must confront the ghosts and regrets of his old life
Raiders of the Lost Ark,In archaeologist and adventurer Indiana Jones is hired by the US government to find the Ark of the Covenant before Adolf Hitlers Nazis can obtain its awesome powers,Raiders of the Lost Ark In archaeologist and adventurer Indiana Jones is hired by the US government to find the Ark of the Covenant before Adolf Hitlers Nazis can obtain its awesome powers
The Shining,A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence while his psychic son sees horrific forebodings from both past and future,The Shining A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence while his psychic son sees horrific forebodings from both past and future
Apocalypse Now,A US Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god,Apocalypse Now A US Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god
Alien,After a space merchant vessel receives an unknown transmission as a distress call one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun,Alien After a space merchant vessel receives an unknown transmission as a distress call one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun
Anand,The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs as told by his best friend,Anand The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs as told by his best friend
Tengoku to jigoku,An executive of a shoe company becomes a victim of extortion when his chauffeurs son is kidnapped and held for ransom,Tengoku to jigoku An executive of a shoe company becomes a victim of extortion when his chauffeurs son is kidnapped and held for ransom
Dr Strangelove or How I Learned to Stop Worrying and Love the Bomb,An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop,Dr Strangelove or How I Learned to Stop Worrying and Love the Bomb An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop
Witness for the Prosecution,A veteran British barrister must defend his client in a murder trial that has surprise after surprise,Witness for the Prosecution A veteran British barrister must defend his client in a murder trial that has surprise after surprise
Paths of Glory,After refusing to attack an enemy position a general accuses the soldiers of cowardice and their commanding officer must defend them,Paths of Glory After refusing to attack an enemy position a general accuses the soldiers of cowardice and their commanding officer must defend them
Rear Window,A wheelchairbound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder,Rear Window A wheelchairbound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder
Sunset Blvd,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return,Sunset Blvd A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return
The Great Dictator,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkels regime,The Great Dictator Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkels regime
Tumbbad,A mythological story about a goddess who created the entire universe The plot revolves around the consequences when humans build a temple for her firstborn,Tumbbad A mythological story about a goddess who created the entire universe The plot revolves around the consequences when humans build a temple for her firstborn
Andhadhun,A series of mysterious events change the life of a blind pianist who must now report a crime that he should technically know nothing of,Andhadhun A series of mysterious events change the life of a blind pianist who must now report a crime that he should technically know nothing of
Drishyam,A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime,Drishyam A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime
Jagten,A teacher lives a lonely life all the while struggling over his sons custody His life slowly gets better as he finds love and receives good news from his son but his new luck is about to be brutally shattered by an innocent little lie,Jagten A teacher lives a lonely life all the while struggling over his sons custody His life slowly gets better as he finds love and receives good news from his son but his new luck is about to be brutally shattered by an innocent little lie
Jodaeiye Nader az Simin,A married couple are faced with a difficult decision to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimers disease,Jodaeiye Nader az Simin A married couple are faced with a difficult decision to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimers disease
Incendies,Twins journey to the Middle East to discover their family history and fulfill their mothers last wishes,Incendies Twins journey to the Middle East to discover their family history and fulfill their mothers last wishes
Miracle in cell NO,A story of love between a mentallyill father who was wrongly accused of murder and his lovely six years old daughter The prison would be their home Based on the Korean movie beonbangui seonmul,Miracle in cell NO A story of love between a mentallyill father who was wrongly accused of murder and his lovely six years old daughter The prison would be their home Based on the Korean movie beonbangui seonmul
Babam ve Oglum,The family of a leftwing journalist is torn apart after the military coup of Turkey in,Babam ve Oglum The family of a leftwing journalist is torn apart after the military coup of Turkey in
Inglourious Basterds,In Nazioccupied France during World War II a plan to assassinate Nazi leaders by a group of Jewish US soldiers coincides with a theatre owners vengeful plans for the same,Inglourious Basterds In Nazioccupied France during World War II a plan to assassinate Nazi leaders by a group of Jewish US soldiers coincides with a theatre owners vengeful plans for the same
Eternal Sunshine of the Spotless Mind,When their relationship turns sour a couple undergoes a medical procedure to have each other erased from their memories,Eternal Sunshine of the Spotless Mind When their relationship turns sour a couple undergoes a medical procedure to have each other erased from their memories
Amlie,Amlie is an innocent and naive girl in Paris with her own sense of justice She decides to help those around her and along the way discovers love,Amlie Amlie is an innocent and naive girl in Paris with her own sense of justice She decides to help those around her and along the way discovers love
Snatch,Unscrupulous boxing promoters violent bookmakers a Russian gangster incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond,Snatch Unscrupulous boxing promoters violent bookmakers a Russian gangster incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond
Requiem for a Dream,The druginduced utopias of four Coney Island people are shattered when their addictions run deep,Requiem for a Dream The druginduced utopias of four Coney Island people are shattered when their addictions run deep
American Beauty,A sexually frustrated suburban father has a midlife crisis after becoming infatuated with his daughters best friend,American Beauty A sexually frustrated suburban father has a midlife crisis after becoming infatuated with his daughters best friend
Good Will Hunting,Will Hunting a janitor at MIT has a gift for mathematics but needs help from a psychologist to find direction in his life,Good Will Hunting Will Hunting a janitor at MIT has a gift for mathematics but needs help from a psychologist to find direction in his life
BachehaYe aseman,After a boy loses his sisters pair of shoes he goes on a series of adventures in order to find them When he cant he tries a new way to win a new pair,BachehaYe aseman After a boy loses his sisters pair of shoes he goes on a series of adventures in order to find them When he cant he tries a new way to win a new pair
Toy Story,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boys room,Toy Story A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boys room
Braveheart,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England,Braveheart Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England
Reservoir Dogs,When a simple jewelry heist goes horribly wrong the surviving criminals begin to suspect that one of them is a police informant,Reservoir Dogs When a simple jewelry heist goes horribly wrong the surviving criminals begin to suspect that one of them is a police informant
Full Metal Jacket,A pragmatic US Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue,Full Metal Jacket A pragmatic US Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue
Idi i smotri,After finding an old rifle a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II,Idi i smotri After finding an old rifle a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II
Aliens,Fiftyseven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures Officer Ripley awakens from hypersleep and tries to warn anyone who will listen about the predators,Aliens Fiftyseven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures Officer Ripley awakens from hypersleep and tries to warn anyone who will listen about the predators
Amadeus,The life success and troubles of Wolfgang Amadeus Mozart as told by Antonio Salieri the contemporaneous composer who was insanely jealous of Mozarts talent and claimed to have murdered him,Amadeus The life success and troubles of Wolfgang Amadeus Mozart as told by Antonio Salieri the contemporaneous composer who was insanely jealous of Mozarts talent and claimed to have murdered him
Scarface,In Miami a determined Cuban immigrant takes over a drug cartel and succumbs to greed,Scarface In Miami a determined Cuban immigrant takes over a drug cartel and succumbs to greed
Star Wars Episode VI Return of the Jedi,After a daring mission to rescue Han Solo from Jabba the Hutt the Rebels dispatch to Endor to destroy the second Death Star Meanwhile Luke struggles to help Darth Vader back from the dark side without falling into the Emperors trap,Star Wars Episode VI Return of the Jedi After a daring mission to rescue Han Solo from Jabba the Hutt the Rebels dispatch to Endor to destroy the second Death Star Meanwhile Luke struggles to help Darth Vader back from the dark side without falling into the Emperors trap
Das Boot,The claustrophobic world of a WWII German Uboat boredom filth and sheer terror,Das Boot The claustrophobic world of a WWII German Uboat boredom filth and sheer terror
Taxi Driver,A mentally unstable veteran works as a nighttime taxi driver in New York City where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute,Taxi Driver A mentally unstable veteran works as a nighttime taxi driver in New York City where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute
The Sting,Two grifters team up to pull off the ultimate con,The Sting Two grifters team up to pull off the ultimate con
A Clockwork Orange,In the future a sadistic gang leader is imprisoned and volunteers for a conductaversion experiment but it doesnt go as planned,A Clockwork Orange In the future a sadistic gang leader is imprisoned and volunteers for a conductaversion experiment but it doesnt go as planned
A Space Odyssey,After discovering a mysterious artifact buried beneath the Lunar surface mankind sets off on a quest to find its origins with help from intelligent supercomputer HAL,A Space Odyssey After discovering a mysterious artifact buried beneath the Lunar surface mankind sets off on a quest to find its origins with help from intelligent supercomputer HAL
Per qualche dollaro in pi,Two bounty hunters with the same intentions team up to track down a Western outlaw,Per qualche dollaro in pi Two bounty hunters with the same intentions team up to track down a Western outlaw
Lawrence of Arabia,The story of TE Lawrence the English officer who successfully united and led the diverse often warring Arab tribes during World War I in order to fight the Turks,Lawrence of Arabia The story of TE Lawrence the English officer who successfully united and led the diverse often warring Arab tribes during World War I in order to fight the Turks
The Apartment,A man tries to rise in his company by letting its executives use his apartment for trysts but complications and a romance of his own ensue,The Apartment A man tries to rise in his company by letting its executives use his apartment for trysts but complications and a romance of his own ensue
North by Northwest,A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies,North by Northwest A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies
Vertigo,A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman,Vertigo A former police detective juggles wrestling with his personal demons and becoming obsessed with a hauntingly beautiful woman
Singin in the Rain,A silent film production company and cast make a difficult transition to sound,Singin in the Rain A silent film production company and cast make a difficult transition to sound
Ikiru,A bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer,Ikiru A bureaucrat tries to find a meaning in his life after he discovers he has terminal cancer
Ladri di biciclette,In postwar Italy a workingclass mans bicycle is stolen He and his son set out to find it,Ladri di biciclette In postwar Italy a workingclass mans bicycle is stolen He and his son set out to find it
Double Indemnity,An insurance representative lets himself be talked by a seductive housewife into a murderinsurance fraud scheme that arouses the suspicion of an insurance investigator,Double Indemnity An insurance representative lets himself be talked by a seductive housewife into a murderinsurance fraud scheme that arouses the suspicion of an insurance investigator
